doc_id,sentence_id,token_id,token,lemma,pos
text20,2,4,analysis,analysis,NOUN
text20,2,6,matching,match,VERB
text20,2,8,reality,reality,NOUN
text20,2,11,explained,explain,VERB
text20,2,16,representative,representative,NOUN
text20,2,18,contacted,contact,VERB
text20,2,21,requested,request,VERB
text20,2,25,call,call,VERB
text20,3,4,multiple,multiple,ADJ
text20,3,5,spam,spam,NOUN
text20,3,6,call,call,NOUN
text20,3,9,company,company,NOUN
text20,3,13,reason,reason,NOUN
text20,3,16,feel,feel,VERB
text20,3,20,fake,fake,ADJ
text20,3,23,practical,practical,ADJ
text20,4,3,forced,force,VERB
text20,4,7,rating,rating,NOUN
text20,4,10,calling,call,VERB
text21,1,1,Excellent,excellent,ADJ
text21,2,1,Useful,useful,ADJ
text21,3,1,Gives,give,VERB
text21,3,2,weather,weather,NOUN
text21,3,3,based,base,VERB
text21,3,4,dynamic,dynamic,ADJ
text21,3,5,advisory,advisory,NOUN
text21,4,3,satellite,satellite,NOUN
text21,4,4,mapping,mapping,NOUN
text21,5,1,Available,available,ADJ
text21,5,3,local,local,ADJ
text21,5,4,language,language,NOUN
text22,1,3,payment,payment,NOUN
text22,1,6,aap,aap,NOUN
text22,1,9,quick,quick,ADJ
text22,2,2,takes,take,VERB
text22,2,5,time,time,NOUN
text22,2,9,payment,payment,NOUN
text22,3,2,payment,payment,NOUN
text22,3,3,approval,approval,NOUN
text22,3,4,takes,take,VERB
text22,3,8,minutes,minute,NOUN
text22,3,10,reach,reach,VERB
text22,5,2,means,mean,VERB
text22,5,7,time,time,NOUN
text23,1,1,Nice,nice,ADJ
text23,2,1,Provide,provide,VERB
text23,2,3,information,information,NOUN
text23,2,6,framer,framer,NOUN
text23,3,6,indian,indian,ADJ
text23,3,7,framer,framer,NOUN
text24,1,2,useless,useless,ADJ
text24,2,4,purchase,purchase,VERB
text24,2,5,premium,premium,NOUN
text24,2,11,view,view,VERB
text24,3,2,premium,premium,NOUN
text24,3,7,share,share,VERB
text24,4,6,section,section,NOUN
text24,4,13,premium,premium,NOUN
text24,4,16,grow,grow,VERB
text24,4,19,acre,acre,NOUN
text24,4,22,laughable,laughable,ADJ
text24,4,30,grow,grow,VERB
text25,1,1,Enhanced,enhance,VERB
text25,1,2,features,feature,NOUN
text26,1,1,Best,good,ADJ
text26,2,2,simple,simple,ADJ
text26,2,5,service,service,NOUN
